part,case,k,offdiag_resid,max_abs_err,seconds
A,known_factors,2,0,2.79e-04,
A,equicorrelated,1,0,1.39e-04,
A,identity,2,0,6.92e-09,
B,exp ell=1.6,1,0.7674,3.96e-02,0.01
B,exp ell=1.6,3,0.2676,2.14e-02,0.40
B,exp ell=1.6,5,0.0965,5.19e-03,3.94
B,exp ell=1.6,8,0.0037,7.50e-04,3.86
B,exp ell=1.6,12,0.0004,4.82e-04,6.34
B,chordal-SE ell=1.6,1,0.4910,9.66e-02,0.02
B,chordal-SE ell=1.6,3,0.0740,9.82e-03,0.66
B,chordal-SE ell=1.6,5,0.0019,1.36e-03,5.75
B,chordal-SE ell=1.6,8,0.0005,2.51e-04,6.28
B,chordal-SE ell=1.6,12,0.0005,1.29e-03,5.61
C,deletion_ensemble,3,,1.11e-16,3.01
D,exp03_replication,8,,0.0170,36
E,N400,8,,1.70e-02,49.4
